DATE,#GUESTS,DAILY SALES
"04-Oct, 2008",740,"$6,392.09"
"05-Oct, 2008",595,"$5,095.31"
"06-Oct, 2008",350,"$2,903.30"
"07-Oct, 2008",324,"$2,646.62"
"08-Oct, 2008",352,"$3,097.27"
"09-Oct, 2008",370,"$3,099.53"
"10-Oct, 2008",675,"$6,021.36"
"11-Oct, 2008",596,"$4,987.08"
"12-Oct, 2008",554,"$4,829.67"
"13-Oct, 2008",335,"$2,820.98"
"14-Oct, 2008",396,"$3,242.96"
"15-Oct, 2008",380,"$3,172.58"
"16-Oct, 2008",482,"$4,060.04"
"17-Oct, 2008",624,"$5,366.26"
"18-Oct, 2008",784,"$6,801.61"
"19-Oct, 2008",542,"$4,738.49"
"20-Oct, 2008",347,"$2,949.21"
"21-Oct, 2008",372,"$3,130.10"
"22-Oct, 2008",439,"$3,711.48"
"23-Oct, 2008",458,"$3,958.27"
"24-Oct, 2008",530,"$4,607.36"
"25-Oct, 2008",659,"$5,707.65"
"26-Oct, 2008",548,"$4,754.59"
"27-Oct, 2008",342,"$2,885.72"
"28-Oct, 2008",402,"$3,306.33"
"29-Oct, 2008",408,"$3,393.87"
"30-Oct, 2008",495,"$4,134.30"
"31-Oct, 2008",592,"$4,835.79"
"01-Nov, 2008",721,"$6,140.26"
"02-Nov, 2008",611,"$5,315.09"
"03-Nov, 2008",372,"$3,063.58"
"04-Nov, 2008",378,"$3,036.77"
"05-Nov, 2008",453,"$3,677.16"
"06-Nov, 2008",472,"$3,851.74"
"07-Nov, 2008",805,"$6,769.94"
"08-Nov, 2008",838,"$7,497.44"
"09-Nov, 2008",543,"$4,684.16"
"10-Nov, 2008",367,"$2,979.87"
"11-Nov, 2008",408,"$3,253.67"
"12-Nov, 2008",391,"$3,069.09"
"13-Nov, 2008",333,"$2,673.72"
"14-Nov, 2008",703,"$6,109.48"
"15-Nov, 2008",659,"$5,393.25"
"16-Nov, 2008",564,"$4,903.43"
"17-Nov, 2008",291,"$2,462.22"
"18-Nov, 2008",339,"$2,891.93"
"19-Nov, 2008",385,"$3,213.76"
"20-Nov, 2008",435,"$3,654.89"
