DATE,#GUESTS,DAILY SALES,DATA DATE,TIME ZONE of STATION,HIGHEST TEMPERATURE °F,LOWEST TEMPERATURE °F,AVERAGE DAILY TEMPERATURE (All Hours) °F,AVERAGE DAILY TEMPERATURE (Highest / Lowest) °F,NORMAL HIGHEST TEMPERATURE °F,NORMAL LOWEST TEMPERATURE °F,NORMAL AVERAGE DAILY TEMPERATURE (All Hours) °F,NORMAL AVERAGE DAILY TEMPERATURE (Highest / Lowest) °F,WARMEST HEAT INDEX °F,COLDEST HEAT INDEX °F,AVERAGE HEAT INDEX TEMPERATURE (All Hours) °F,AVERAGE HEAT INDEX TEMPERATURE (Highest / Lowest) °F,NORMAL WARMEST HEAT INDEX °F,NORMAL COLDEST HEAT INDEX °F,NORMAL AVERAGE HEAT INDEX TEMPERATURE (All Hours) °F,WARMEST WIND CHILL TEMPERATURE °F,COLDEST WIND CHILL TEMPERATURE °F,AVERAGE DAILY WIND CHILL TEMPERATURE (All Hours) °F,NORMAL WARMEST WIND CHILL TEMPERATURE °F,NORMAL COLDEST WIND CHILL TEMPERATURE °F,NORMAL AVERAGE DAILY WIND CHILL TEMPERATURE (All Hours) °F,"MAXIMUM WIND CHILL ENERGY (All Hours, W/M2)","MINIMUM WIND CHILL ENERGY (All Hours, W/M2)","DAILY AVERAGE WIND CHILL ENERGY (All Hours, W/M2)","NORMAL MAXIMUM WIND CHILL ENERGY (All Hours, W/M2)","NORMAL MINIMUM WIND CHILL ENERGY (All Hours, W/M2)","NORMAL DAILY AVERAGE WIND CHILL ENERGY (All Hours, W/M2)","MAXIMUM ""FEELS LIKE"" TEMPERATURE °F","MINIMUM ""FEELS LIKE"" TEMPERATURE °F","DAILY AVERAGE ""FEELS LIKE"" TEMPERATURE (All Hours) °F","MAXIMUM ""REAL FEEL"" TEMPERATURE °F","MINIMUM ""REAL FEEL"" TEMPERATURE °F","DAILY AVERAGE ""REAL FEEL"" TEMPERATURE (All Hours) °F","NORMAL MAXIMUM ""FEELS LIKE"" TEMPERATURE °F","NORMAL MINIMUM ""FEELS LIKE"" TEMPERATURE °F","NORMAL DAILY AVERAGE ""FEELS LIKE"" TEMPERATURE (All Hours) °F","EXTREME HIGHEST TEMP., WARM, °F","EXTREME HIGHEST TEMP., COLD, °F","EXTREME LOWEST TEMP., WARM, °F","EXTREME LOWEST TEMP., COLD, °F",HIGHEST DEW POINT TEMPERATURE °F,LOWEST DEW POINT TEMPERATURE °F,AVERAGE DAILY DEW POINT TEMPERATURE (All Hours) °F,AVERAGE DAILY DEW POINT TEMPERATURE (Highest / Lowest) °F,NORMAL HIGHEST DEW POINT TEMPERATURE °F,NORMAL LOWEST DEW POINT TEMPERATURE °F,NORMAL AVERAGE DAILY DEW POINT TEMPERATURE (All Hours) °F,HIGHEST RELATIVE HUMIDITY (Percent; %),LOWEST RELATIVE HUMIDITY (Percent; %),"AVERAGE DAILY RELATIVE HUMIDITY (All Hours, Percent; %)",NORMAL HIGHEST RELATIVE HUMIDITY (Percent; %),NORMAL LOWEST RELATIVE HUMIDITY (Percent; %),"NORMAL AVERAGE DAILY RELATIVE HUMIDITY (All Hours, Percent; %)",HIGHEST WET BULB TEMPERATURE °F,LOWEST WET BULB TEMPERATURE °F,AVERAGE DAILY WET BULB TEMPERATURE (All Hours) °F,NORMAL HIGHEST WET BULB TEMPERATURE °F,NORMAL LOWEST WET BULB TEMPERATURE °F,NORMAL AVERAGE DAILY WET BULB TEMPERATURE (All Hours) °F,"HEATING DEGREE DAYS (HDDs, Highest / Lowest, Base of 65°F)","NORMAL HDDs (Highest / Lowest, Base of 65°F)","DEPARTURE from NORMAL HDDs (Highest / Lowest, Base of 65°F)","HEATING DEGREE DAYS (HDDs, All Hours, Base of 65°F)","NORMAL HDDs (All Hours, Base of 65°F)","EFFECTIVE DEGREE DAYS (EDDs, Highest / Lowest, Base of 65°F)","NORMAL EDDs (Highest / Lowest, Base of 65°F)","EFFECTIVE DEGREE DAYS (EDDs, All Hours, Base of 65°F)","NORMAL EDDs (All Hours, Base of 65°F)","DEPARTURE from NORMAL EDDs (All Hours, Base of 65°F)","GROWING DEGREE DAYS (GDDs, Highest / Lowest, Base of 50°F)","NORMAL GDDs (Highest / Lowest, Base of 50°F)","GROWING DEGREE DAYS (GDDs, All Hours, Base of 50°F)","NORMAL GDDs (All Hours, Base of 50°F)","AVERAGE DAILY SOIL TEMPERATURE (WBI Calculated, °F)","SOIL MOISTURE (NOAA / NCEP, Inches)",PALMER DROUGHT INDEX  (NOAA / NCEP),"FREEZING DEGREE DAYS (FDDs, Highest / Lowest, Base of 32°F)","NORMAL FDDs (Highest / Lowest, Base of 32°F)",HIGHEST SUSTAINED SPEED (M.P.H.),LOWEST SUSTAINED SPEED (M.P.H.),"AVERAGE DAILY WIND SPEED (All Hours, M.P.H.)","PREDOMINATE WIND DIRECTION (Degrees, True)","NORMAL PREDOMINATE WIND DIRECTION  (Degrees, True)","NORMAL AVERAGE DAILY WIND SPEED (All Hours, M.P.H.)",HIGHEST WIND GUST (M.P.H.),"AVERAGE DAILY CLOUD COVER (All Hours, Percent; %)","NORMAL AVERAGE DAILY CLOUD COVER (All Hours, Percent; %)",AVERAGE DAILY CLOUD CEILING (x 100-Feet),"AVERAGE VISIBILITY (All Hours, Miles)","NORMAL AVERAGE VISIBILITY (All Hours, Miles)","LOWEST VISIBILITY (All Hours, Miles)","LOWEST INTRA HOUR VISIBILITY (If Reported, All Hours, Miles)","MAXIMUM SOLAR IRRADIANCE (Beam Horizontal, W/M2)","MINIMUM SOLAR IRRADIANCE (Beam Horizontal, W/M2)","AVERAGE SOLAR IRRADIANCE (Beam Horizontal, W/M2)","TOTAL SOLAR IRRADIANCE (Beam Horizontal, W/M2)","MAXIMUM SOLAR IRRADIANCE (Diffuse, W/M2)","MINIMUM SOLAR IRRADIANCE (Diffuse, W/M2)","AVERAGE SOLAR IRRADIANCE (Diffuse, W/M2)","TOTAL SOLAR IRRADIANCE (Diffuse, W/M2)","MAXIMUM SOLAR IRRADIANCE (Global Horizontal, W/M2)","MINIMUM SOLAR IRRADIANCE (Global Horizontal, W/M2)","AVERAGE SOLAR IRRADIANCE (Global Horizontal, W/M2)","TOTAL SOLAR IRRADIANCE (Global Horizontal, W/M2)","NORMAL MAXIMUM SOLAR IRRADIANCE (Beam Horizontal,  W/M2)","NORMAL AVERAGE SOLAR IRRADIANCE (Beam Horizontal,  W/M2)","NORMAL TOTAL SOLAR IRRADIANCE (Beam Horizontal,  W/M2)","NORMAL MAXIMUM SOLAR IRRADIANCE (Global Horizontal,  W/M2)","NORMAL AVERAGE SOLAR IRRADIANCE (Global Horizontal,  W/M2)","NORMAL TOTAL SOLAR IRRADIANCE (Global Horizontal,  W/M2)","SOLAR IRRADIANCE, PERCENT of POSSIBLE  (Direct)","SOLAR IRRADIANCE, PERCENT of POSSIBLE  (Global)",TOTAL MINUTES of SUNSHINE (WBI Calculated),NORMAL TOTAL MINUTES of SUNSHINE (WBI Calculated),TOTAL MINUTES of SUNSHINE POSSIBLE (on Cloud-free Day),PERCENT of SUNSHINE (Calculated / Total Possible),NORMAL PERCENT of SUNSHINE (Calculated / Total Possible),"MAXIMUM SOLAR ANGLE, °ABOVE HORIZON","MINIMUM SOLAR ANGLE, °FROM ZENITH","MAXIMUM SOLAR IRRADIANCE (Beam Normal, W/M2)","MINIMUM SOLAR IRRADIANCE (Beam Normal, W/M2)","AVERAGE SOLAR IRRADIANCE (Beam Normal, W/M2)","TOTAL SOLAR IRRADIANCE (Beam Normal, W/M2)",MAXIMUM SOLAR IRRADIANCE (Beam Normal on a Clear Day W/M2),MINIMUM SOLAR IRRADIANCE (Beam Normal on a Clear Day W/M2),AVERAGE SOLAR IRRADIANCE (Beam Normal on a Clear Day W/M2),TOTAL SOLAR IRRADIANCE (Beam Normal on a Clear Day W/M2),OBSERVED TOTAL DAILY WATER EQUIVALENT AWXCLIMO (Inches),DEPARTURE from NORMAL TOTAL DAILY PRECIPITATION (Inches),PERCENT of NORMAL DAILY WATER EQUIVALENT,EXTREME OBSERVED DAILY WATER EQUIVALENT (Inches),"AVERAGE POPs on FORECAST DATA, or PERCENT (%) of DAY with PRECIPITATION","CALENDAR DAY, TOTAL HOURS of PRECIPITATION",NORMAL SNOWFALL (WBI Calculated; Total of All Hours; Inches),SNOWFALL (WBI FINAL AWXCLIMO; Inches),EXTREME DAILY SNOWFALL (WBI Calculated; Inches),"SNOW on GROUND, USING ALL SOURCES (Inches)","HIGHEST PRESSURE (All Hours, Inches)","LOWEST PRESSURE (All Hours, Inches)","AVERAGE DAILY PRESSURE (All Hours, Inches)","NORMAL AVERAGE DAILY PRESSURE (All Hours, Inches)","HIGHEST PRESSURE (All Hours, Millibars, if reported)","LOWEST PRESSURE (All Hours, Millibars, if reported)","AVERAGE DAILY PRESSURE (All Hours, Millibars, if reported)","NORMAL AVERAGE DAILY PRESSURE (All Hours, Millibars, if reported)",EPA AQI (0 to 500),DISTANCE TO EPA AQI  (miles),Air Quality Dispersion Index (Unlimited),WBI 2-DIGIT PREDOMINATE WEATHER (All Hours),"MAX-T, 10PM - 4AM, LT","MIN-T, 10PM - 4AM, LT","AVG HEAT INDEX T°F, SUNR to SUNS","AVG HEAT INDEX T°F, SUNS to SUNR","AVG HEAT INDEX T°F, 10PM to 4AM LT","AVG HEAT INDEX T°F, CAL DAY",PAN EVAPORATION via REGRESSION (Inches),Normal Pan Evaporation (Inches),"UNITED NATIONS FOOD & AG PAN EVAPORATION EQUATION (from OU, Inches)"
04Oct2008,740,$6392.09,04Oct2008,MST,65,50,57,58,71,45,57,58,65,50,57,58,70,46,57,65,46,55,70,43,56,735,229,550,756,200,498,65,46,55,69,45,56,70,43,56,88,45,60,26,38,33,35,36,39,30,34,54,31,44,68,26,46,50,43,47,53,40,47,8,8,0,8,9,9,10,9,10,-1,8,9,7,8,61,3.38,-1.97,0,0,12,0,7,122,287,7,12,79,31,91,9.8,11.5,4,2.5,584,0,127,3052,60,0,16,389,644,0,143,3440,544,141,3376,603,157,3768,78,80,182,478,694,26,69,41,49,900,0,251,6025,925,0,330,7929,0.3,0.28,1500,1.13,38,9,0,0,0,0,29.83,29.63,29.69,30.03,1009.2,1001.4,1003.8,1016.2,7,4,18.1,18,59,52,61,57.2,55.8,56.8,0.2346,0.2607,0.1597
05Oct2008,595,$5095.31,05Oct2008,MST,59,45,52,52,70,45,57,57,59,45,52,52,70,45,57,59,41,51,69,42,55,754,188,455,763,203,505,59,41,51,69,41,54,69,42,55,86,47,58,24,35,33,34,34,39,29,34,66,38,52,68,27,47,47,40,44,52,40,46,13,9,4,13,9,14,10,14,10,3,2,8,2,8,55,3.388,-1.949,0,0,7,0,3,132,286,7,7,64,32,103,10,11.5,10,,523,0,115,2767,60,0,16,384,577,0,131,3150,537,138,3317,595,154,3703,72,75,202,473,690,29,69,40,50,876,0,226,5414,923,0,328,7867,0,-0.02,0,0.82,0,0,0,0,0,0,30.07,29.85,29.96,30.03,1017.3,1009.8,1013.8,1016.3,7,4,12.5,40,52,47,54.9,50.4,49.6,52,0.1942,0.2535,0.0856
06Oct2008,350,$2903.30,06Oct2008,MST,68,48,57,58,70,44,56,57,68,48,57,58,69,45,56,68,44,56,69,42,55,752,142,509,770,207,512,68,44,56,77,42,58,69,42,55,87,48,57,26,35,33,34,34,39,29,34,58,27,44,68,27,47,51,42,46,52,40,46,7,9,-2,8,9,7,11,8,11,-2,8,8,7,7,54,3.395,-1.927,0,0,9,0,6,121,286,7,9,29,32,181,10,11.5,10,,586,0,153,3679,59,0,16,379,645,0,169,4058,530,136,3259,587,152,3639,97,97,548,467,687,80,68,40,50,918,0,308,7397,920,0,325,7807,0,-0.02,0,0.61,0,0,0,0,0,0,30.21,30.07,30.15,30.03,1022,1017.4,1020.2,1016.4,10,4,14,46,52,49,62.4,50.7,50.2,57,0.2617,0.2465,0.1474
07Oct2008,324,$2646.62,07Oct2008,MST,74,51,60,63,69,44,56,56,74,51,60,63,69,45,56,74,48,59,68,41,54,702,309,545,777,211,518,74,48,59,76,46,58,68,41,54,86,44,59,24,38,33,34,36,38,29,34,53,22,39,69,27,47,54,43,48,52,39,46,3,9,-6,5,10,3,11,6,11,-5,13,8,10,7,58,3.403,-1.906,0,0,18,6,10,321,286,7,25,32,32,247,10,11.5,10,,520,0,135,3237,59,0,15,372,578,0,150,3609,523,133,3201,580,149,3575,87,88,442,462,684,65,68,40,50,824,0,278,6668,918,0,323,7750,0,-0.02,0,1.18,0,0,0,0,0,0,30.23,30.13,30.17,30.03,1022.1,1018.7,1020.3,1016.6,16,4,27.9,52,57,53,68,55.6,54.7,60.4,0.2685,0.2396,0.2578
08Oct2008,352,$3097.27,08Oct2008,MST,59,41,48,50,69,44,55,56,59,41,49,50,68,44,55,56,35,45,67,41,54,898,258,694,783,215,525,56,35,45,57,33,46,67,41,54,88,45,56,27,35,31,34,33,38,29,33,77,37,58,69,28,48,47,38,42,51,39,45,15,10,5,17,10,16,11,18,11,7,0,7,0,6,55,3.41,-1.885,0,0,16,0,8,294,286,7,21,19,33,232,10,11.5,10,,574,0,148,3562,58,0,15,368,631,0,164,3930,516,131,3143,572,146,3511,97,97,601,456,682,88,67,39,51,913,0,305,7309,915,0,321,7701,0,-0.03,0,0.43,0,0,0,0,0,0,30.32,30.02,30.2,30.03,1026.7,1016.6,1022.4,1016.7,15,4,32.1,46,52,44,53.6,49.8,48.4,48.7,0.1919,0.2327,0.1288
09Oct2008,370,$3099.53,09Oct2008,MST,53,31,42,42,68,43,55,56,53,34,43,44,68,44,55,48,32,39,67,40,53,998,293,672,790,219,531,48,32,39,48,29,40,67,40,53,90,47,60,18,35,20,33,27,38,29,33,99,46,72,70,28,48,44,30,38,51,39,45,23,10,13,23,10,25,12,25,12,13,0,7,0,6,46,3.417,-1.863,0,0,18,0,9,303,286,7,25,28,34,160,10,11.5,10,,566,0,129,3100,57,0,15,363,623,0,144,3462,509,129,3086,565,144,3449,86,87,433,451,679,64,67,39,51,910,0,269,6456,913,0,319,7652,0,-0.03,0,0.95,0,0,0,0,0,0,30,29.93,29.96,30.03,1015.9,1014,1014.9,1016.8,11,4,40.1,46,41,34,47.5,39.2,37.6,42.6,0.1833,0.226,0.086
10Oct2008,675,$6021.36,10Oct2008,MST,45,33,38,39,67,43,54,55,45,33,38,39,67,44,54,44,25,34,66,40,53,1075,275,785,797,223,538,44,25,34,53,24,35,66,40,53,90,43,59,23,35,17,32,26,38,29,33,100,53,83,70,28,49,40,32,36,51,38,45,26,11,15,27,11,28,12,29,12,17,0,6,0,6,41,3.425,-1.842,0,0,15,0,7,299,287,7,29,83,34,77,8.4,11.4,1.5,0.8,280,0,77,1847,57,0,15,357,336,0,92,2205,502,126,3029,557,141,3387,52,56,39,445,675,6,66,39,51,454,0,170,4077,911,0,317,7604,0.4,0.37,1333,1.36,13,3,0,0,1.7,1.4,29.98,29.89,29.93,30.04,1016.6,1012.7,1014.4,1016.9,13,4,18.4,40,40,35,41.4,38.5,37.6,38.3,0.0903,0.2195,0.0519
11Oct2008,596,$4987.08,11Oct2008,MST,46,28,38,37,67,42,54,55,46,28,38,37,67,43,54,42,24,33,66,40,52,1038,334,707,804,227,544,42,24,33,44,26,35,66,40,52,87,46,52,22,34,16,30,25,38,28,33,87,51,73,70,29,49,40,26,34,51,38,44,28,11,17,27,11,30,12,29,12,17,0,6,0,6,38,3.432,-1.821,0,0,21,0,8,332,287,7,28,82,35,100,6.8,11.4,0.2,,366,0,104,2500,56,0,15,350,415,0,119,2850,495,124,2973,550,139,3325,71,74,202,440,672,30,65,38,52,779,0,223,5356,908,0,315,7559,0,-0.03,0,0.59,0,0,0,0,0,1.2,29.94,29.79,29.87,30.04,1014.6,1009.5,1012.5,1017.1,6,4,31.9,50,35,30,41.7,32.7,32,37.6,0.1565,0.213,0.0607
12Oct2008,554,$4829.67,12Oct2008,MST,52,36,43,44,66,42,54,54,52,36,43,44,66,43,54,52,27,38,65,39,52,1088,229,824,810,230,551,52,27,38,64,24,39,65,39,52,82,45,57,25,34,23,33,28,38,28,33,89,47,70,71,29,49,43,32,38,50,38,44,21,11,10,22,12,23,13,24,13,11,0,6,0,5,40,3.439,-1.837,0,0,16,0,9,309,287,7,16,34,35,171,9.9,11.4,8,,480,0,124,2965,56,0,14,347,529,0,138,3312,489,122,2917,542,136,3264,86,87,435,434,670,65,65,38,52,861,0,272,6527,906,0,313,7511,0,-0.03,0,0.9,0,0,0,0,1.2,1,30.36,29.91,30.13,30.04,1028.8,1013.2,1021.1,1017.2,3,4,14.9,46,39,36,47.1,38.3,37.8,42.6,0.1117,0.2067,0.0887
13Oct2008,335,$2820.98,13Oct2008,MST,58,35,46,46,66,42,53,54,58,35,46,46,65,42,53,58,29,43,65,39,51,961,195,659,817,234,557,58,29,43,68,28,46,65,39,51,88,42,54,20,34,23,33,28,37,28,33,91,38,63,71,29,50,46,32,40,50,38,44,19,12,7,19,12,20,13,20,13,7,0,6,0,5,44,3.446,-1.853,0,0,14,0,6,130,288,7,14,12,36,189,10,11.4,10,,542,0,142,3408,55,0,14,340,596,0,156,3748,482,119,2863,535,133,3204,100,100,667,429,667,100,64,37,53,900,0,311,7463,903,0,311,7463,0,-0.03,0,0.51,0,0,0,0,0.1,0,30.52,30.38,30.45,30.04,1034.5,1029.8,1031.8,1017.3,15,4,9,46,41,37,51.8,39.4,38.5,46,0.1199,0.2005,0.0906
14Oct2008,396,$3242.96,14Oct2008,MST,60,39,48,50,65,41,53,53,60,39,48,50,65,42,53,60,32,46,64,38,51,980,200,583,823,238,564,60,32,46,70,29,49,64,38,51,86,44,61,21,34,28,33,31,37,28,32,78,35,57,72,30,50,47,36,42,50,37,44,16,12,4,17,13,17,13,18,14,4,0,5,0,4,47,3.454,-1.869,0,0,13,0,5,116,288,7,13,22,36,161,10,11.4,10,,536,0,129,3104,54,0,14,336,590,0,143,3439,475,117,2808,527,131,3145,93,93,537,423,664,81,64,37,53,897,0,282,6762,901,0,309,7414,0,-0.03,0,0.65,0,0,0,0,0,0,30.39,30.21,30.3,30.04,1029.4,1022.9,1026.1,1017.4,18,4,13.7,46,46,41,53.6,43.7,43.2,48.4,0.1172,0.1944,0.0898
15Oct2008,380,$3172.58,15Oct2008,MST,61,41,50,51,65,41,52,53,61,41,50,51,64,42,52,60,34,48,64,38,50,959,211,594,830,242,570,60,34,48,66,31,50,64,38,50,87,44,59,21,34,30,33,32,37,28,32,72,33,53,72,30,51,48,37,42,49,37,43,14,13,1,15,13,15,14,16,14,2,1,5,0,4,49,3.461,-1.885,0,0,13,0,6,115,289,7,13,33,37,180,9.9,11.4,9,,473,0,114,2728,54,0,14,330,520,0,127,3059,468,115,2755,520,129,3086,83,84,505,417,661,76,63,37,53,869,0,262,6287,898,0,307,7367,0,-0.03,0,0.82,0,0,0,0,0,0,30.21,30.16,30.19,30.05,1023.2,1021,1022.1,1017.5,16,4,13.6,46,47,42,55.2,45,44.6,50.4,0.1388,0.1885,0.1026
